"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 17 02:42:12 GMT 2023","Sun Dec 17 02:42:25 GMT 2023","12340","","WebApiPart1.spec.js","","","","@API Place the order",""
"passed","Sun Dec 17 02:42:12 GMT 2023","Sun Dec 17 02:42:34 GMT 2023","21404","","WebApiPart2.spec.js","","","","@API test case 2",""
